rank,priority_band,decision,page_kind,title,path,business_priority,planner_score,phrase_count,max_count,strongest_phrase,strongest_region,regions,intent_ids,top_queries,note
"18","later","create","guide","Cursor","/blog/cursor/","P2","98.5","171","13298","cursor ai","Россия","Россия:13298","TL05","cursor ai:13298|скачать cursor ai:561|cursor ai в россии:339|cursor ai pro:329|cursor ai бесплатно:260|cursor ai аналоги:224|cursor ai не работает:183|cursor ai download:160|cursor ai code:152|cursor ai vs:117","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"19","later","create","guide","Контекст — главный ресурс","/blog/kontekst-glavnyy-resurs/","P1","96.3","26","2605","контекстное окно","Россия","Россия:2605","AG03","контекстное окно:2605|размер контекстного окна:274|что такое контекстное окно модели:128|контекстное окно gpt:84|контекстное окно нейросети это:72|что описывает контекстное окно модели:71|контекстное окно claude:65|что такое контекстное окно языковой модели:61|gemini контекстное окно:61|deepseek контекстное окно:50","Черновик — связать с три-слоя и skills."
"20","later","expand","guide","Skills в Claude Code: свой навык","/blog/skills-claude-code-svoi-navyk/","P1","91.5","3","375","скиллы claude code","Россия","Россия:375","TL01|TL02","скиллы claude code:375|claude code skills github:68|claude code skills marketplace:16",""
"21","later","expand","guide","Шесть моделей, одна задача","/blog/shest-modeley-odna-zadacha/","P1","90","11","1993","сравнение нейросетей","Россия","Россия:1993","MD02","сравнение нейросетей:1993|сравнение нейросетей 2026:172|сравнение нейросетей промптов:64|сравнение моделей нейросетей:57|сравнение нейросетей таблица:46|сравнение нейросети алисы с другими нейросетями:43|сравнение нейросетей какая лучше:35|сравнение нейросетей для видео:27|сравнение нейросетей сайт:24|сравнение нейросетей яндекс:16",""
"22","later","create","guide","MCP: что это и зачем","/blog/mcp-chto-eto-i-zachem/","P1","89.7","90","1209","mcp сервер что это","Россия","Россия:1209","TL06","mcp сервер что это:1209|codex mcp:620|mcp сервер для 1с:447|n8n mcp:166|как подключить mcp сервер:128|локальный mcp сервер:117|mcp сервер работа:100|вкусвилл mcp сервер:94|бесплатные mcp сервера:92|mcp сервер 1c:80",""
"23","later","create","landing","DeepSeek","/blog/deepseek/","P2","88.9","10","4411","цензура дипсик","Россия","Россия:4411","MD03","цензура дипсик:4411|дипсик без цензуры:808|купить deepseek:808|обход цензуры дипсик:803|deepseek подписка:756|дипсик подписка:659|deepseek цензура:646|купить дипсик:604|deepseek цены:429|deepseek как оплатить:421","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"24","later","create","guide","Промпты и спецификации","/blog/prompty-i-specifikacii/","P2","87.2","55","3624","промпт инжиниринг","Россия","Россия:3624","VC03","промпт инжиниринг:3624|промпт инжиниринг работа:345|ии промпт инжиниринг:341|интеллект промпт инжиниринг:253|искусственный интеллект промпт инжиниринг:253|промпт инжиниринг обучение:225|хакатон по промпт инжинирингу:214|промпт инжиниринг ответы:171|промпт инжиниринг пример:150|промпт инжиниринг примеры промптов:150","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"25","later","create","landing","Claude Code","/blog/claude-code/","P1","85.2","13","1828","claude code подписка","Россия","Россия:1828","TL01","claude code подписка:1828|claude code купить:1106|оплатить claude code:559|claude code купить подписку:415|как оплатить claude code из россии:289|оплата claude code:248|claude code тарифы:208|сколько стоит claude code:201|claude code pro подписка:167|claude code цена:142","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"26","later","create","landing","GLM / Zhipu","/blog/glm-zhipu/","P3","84.7","6","4298","glm купить","Россия","Россия:4298","MD06","glm купить:4298|купить газонокосилку glm:2474|купить газонокосилку huter glm:1399|glm подписка:622|купить газонокосилку хутер glm:602|купить газонокосилку бензиновую huter glm:500","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"27","later","create","landing","OpenAI Codex","/blog/openai-codex/","P2","84.5","6","2670","codex купить","Россия","Россия:2670","TL04","codex купить:2670|codex подписка:2191|codex купить подписку:766|codex тарифы:321|codex сколько стоит:260|gpt codex купить:223","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"28","later","create","guide","Мультиагентные системы","/blog/multiagentnye-sistemy/","P2","84.1","26","2545","мультиагентные системы","Россия","Россия:2545","AG05","мультиагентные системы:2545|мультиагентные системы ии:716|создание мультиагентной системы:352|проблемы мультиагентных систем:172|архитектуры мультиагентных систем:138|агент в мультиагентной системе:128|разработка мультиагентных систем:89|мультиагентные системы искусственного интеллекта:69|мультиагентные системы управления:59|мультиагентная система имитирует:54","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"29","later","create","guide","Первый AI-агент за вечер","/blog/pervyy-ai-agent-za-vecher/","P1","78.9","1","350","первый агент ии","Россия","Россия:350","VC02","первый агент ии:350","Черновик — публикация открывает верх воронки."
"30","later","expand","guide","dsh-vision-router: глаза текстовому агенту","/blog/dsh-vision-router/","P2","76.1","3","637","deepseek dsh","Россия","Россия:637","MD03","deepseek dsh:637|deepseek ai dsh:501|deepseek ai dsh web:409",""
"31","later","create","guide","Память агента","/blog/pamyat-agenta/","P2","74.7","1","860","память агента","Россия","Россия:860","AG04","память агента:860",""
"32","later","create","landing","Что такое AI-агент","/blog/chto-takoe-ai-agent/","P1","72.2","5","408","ии агенты купить","Россия","Россия:408","AG01","ии агенты купить:408|сколько стоит ии агент:244|ии агент цена:236|стоимость ии агентов:175|купить ai агента:46","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"33","later","create","landing","Qwen и китайские модели","/blog/qwen-i-kitayskie-modeli/","P3","70.6","5","847","qwen цензура","Россия","Россия:847","MD05","qwen цензура:847|qwen подписка:816|qwen купить:554|qwen без цензуры:456|китайская нейросеть без цензуры:26","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"34","later","create","landing","API нейросетей и ключи","/blog/api-neyrosetey-i-klyuchi/","P2","69","18","445","deepseek api ключ","Россия","Россия:445","IN02","deepseek api ключ:445|бесплатные api ключи нейросетей:226|оплатить openrouter:226|openrouter купить:221|api ключи для нейросетей:189|оплата openrouter:153|как оплатить openrouter из россии:83|openrouter цены:75|промокод openrouter:72|купить api нейросетей:62","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"35","later","create","landing","Cursor","/blog/cursor/","P2","67.6","19","378","cursor ai подписка","Россия","Россия:378","TL05","cursor ai подписка:378|cursor ai купить:359|cursor ai купить подписку:150|cursor ai оплата:104|cursor ai оплатить:99|cursor ai тарифы:48|оплатить cursor ai в россии:46|cursor ai pro купить:46|cursor ai оплата из россии:38|cursor ai pro подписка:33","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"36","later","create","landing","GigaChat","/blog/gigachat/","P3","56.2","6","161","gigachat тарифы","Россия","Россия:161","MD07","gigachat тарифы:161|gigachat api тарифы:115|gigachat подписка:80|gigachat цены:71|gigachat купить:60|gigachat стоимость:57","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"37","later","create","guide","Агент на VPS","/blog/agent-na-vps/","P2","55.6","2","37","локальные нейросети на серверах","Россия","Россия:37","IN01","локальные нейросети на серверах:37|vps для нейросетей:31",""
"38","later","create","landing","Автоматизация и боты","/blog/avtomatizaciya-i-boty/","P2","55","5","88","n8n подписка","Россия","Россия:88","IN03","n8n подписка:88|n8n купить:67|n8n сколько стоит:53|оплатить n8n:50|n8n цена:37","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"39","later","expand","guide","«Claude AI Ultimate» — скам-репозиторий","/blog/claude-ai-ultimate-scam/","P2","51.8","1","38","мошенничество с нейросетью","Россия","Россия:38","SC02","мошенничество с нейросетью:38",""
